node_ID,out_degree,in_degree,core,weighted_out_degree,weighted_in_degree,weighted_degree,in_average_iat,in_mad_iat,in_median_iat,in_std_iat,in_min_iat,in_max_iat,in_quantile_25_iat,in_quantile_50_iat,in_quantile_75_iat,in_entropy_iat,in_call_count,in_average_measure,in_mad_measure,in_median_measure,in_std_measure,in_min_measure,in_max_measure,in_quantile_25_measure,in_quantile_50_measure,in_quantile_75_measure,in_entropy_measure,in_sum_measure,out_average_iat,out_mad_iat,out_median_iat,out_std_iat,out_min_iat,out_max_iat,out_quantile_25_iat,out_quantile_50_iat,out_quantile_75_iat,out_entropy_iat,out_call_count,out_average_measure,out_mad_measure,out_median_measure,out_std_measure,out_min_measure,out_max_measure,out_quantile_25_measure,out_quantile_50_measure,out_quantile_75_measure,out_entropy_measure,out_sum_measure
1,5,2,6,742,196,938,91153.0,0.0,91153.0,0.0,91153.0,91153.0,91153.0,91153.0,91153.0,0.0,2.0,98.0,4.0,98.0,4.0,94.0,102.0,96.0,98.0,100.0,0.6923139628612519,196.0,81371.75,15658.375,88114.5,18859.203606926247,50055.0,99203.0,75550.5,88114.5,93935.75,1.3569502472973543,5.0,148.4,127.44000000000001,112.0,168.35391293343912,7.0,467.0,11.0,112.0,145.0,1.0022976951733398,742.0
2,4,2,6,1534,316,1850,65572.0,0.0,65572.0,0.0,65572.0,65572.0,65572.0,65572.0,65572.0,0.0,2.0,158.0,66.0,158.0,66.0,92.0,224.0,125.0,158.0,191.0,0.6031685911057709,316.0,42777.666666666664,24952.44444444445,58771.0,26559.14980232278,5349.0,64213.0,32060.0,58771.0,61492.0,0.8365668335906433,4.0,383.5,112.75,441.5,134.95276951585691,158.0,493.0,340.25,441.5,484.75,1.313411926292501,1534.0
3,3,6,7,1015,1518,2533,67855.2,55836.72000000001,40885.0,71301.2666322275,5521.0,207447.0,37414.0,40885.0,48009.0,1.1426388450633147,6.0,253.0,155.0,203.0,175.5648028506853,21.0,498.0,140.75,203.0,405.5,1.5269101141268766,1518.0,122156.5,116588.5,122156.5,116588.5,5568.0,238745.0,63862.25,122156.5,180450.75,0.10870882223670146,3.0,338.3333333333333,81.1111111111111,314.0,91.04699641149925,241.0,460.0,277.5,314.0,387.0,1.0630284789550166,1015.0
4,3,6,7,689,1539,2228,76066.4,64930.08,32419.0,68980.60449604657,4276.0,183301.0,29179.0,32419.0,131157.0,1.1762521561919494,6.0,256.5,54.0,245.0,70.13974146896561,161.0,388.0,220.25,245.0,277.25,1.7554858852785926,1539.0,97002.5,87007.5,97002.5,87007.5,9995.0,184010.0,53498.75,97002.5,140506.25,0.2029646345685208,3.0,229.66666666666666,133.55555555555554,167.0,144.9283347804087,92.0,430.0,129.5,167.0,298.5,0.9065951817570819,689.0
5,6,8,7,1434,2649,4083,49370.0,40266.28571428572,34495.0,52044.74274808442,2683.0,162658.0,9685.0,34495.0,63192.0,1.4329808014684264,8.0,331.125,139.5625,404.0,166.15989099358484,45.0,487.0,273.5,404.0,450.25,1.9079581532010672,2649.0,75079.8,36620.96,70111.0,40261.09916731037,26952.0,127713.0,36624.0,70111.0,113999.0,1.4582585861927582,6.0,239.0,97.0,204.0,123.42068978362852,111.0,486.0,155.0,204.0,268.75,1.6708078124794572,1434.0
6,7,5,7,1874,1284,3158,98098.5,68566.75,66367.5,81410.71286538399,24427.0,235232.0,47265.25,66367.5,117200.75,1.07562579657101,5.0,256.8,139.44,287.0,155.3221169054813,33.0,457.0,132.0,287.0,375.0,1.3900068482605281,1284.0,62108.166666666664,32053.833333333332,54065.0,40185.05156737045,17273.0,140023.0,33545.0,54065.0,73904.75,1.593925733851159,7.0,267.7142857142857,123.10204081632651,260.0,145.19220196072544,64.0,466.0,158.0,260.0,384.0,1.780304674047669,1874.0
7,2,6,7,296,1582,1878,34509.8,16818.96,29725.0,18343.302095315335,9515.0,55893.0,22242.0,29725.0,55174.0,1.456576028364653,6.0,263.6666666666667,65.44444444444444,267.0,84.89732360655167,164.0,413.0,191.25,267.0,295.5,1.7404224997072746,1582.0,50975.0,0.0,50975.0,0.0,50975.0,50975.0,50975.0,50975.0,50975.0,0.0,2.0,148.0,45.0,148.0,45.0,103.0,193.0,125.5,148.0,170.5,0.6461827913298193,296.0
8,5,1,6,1423,397,1820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,397.0,0.0,397.0,0.0,397.0,397.0,397.0,397.0,397.0,0.0,397.0,51150.75,43611.25,31359.5,52103.52124556938,6809.0,135075.0,7904.75,31359.5,74605.5,0.8693533849007411,5.0,284.6,104.47999999999999,335.0,110.57052048353576,134.0,417.0,174.0,335.0,363.0,1.5281367465463607,1423.0
9,4,6,7,980,1366,2346,66428.0,42248.8,45557.0,54451.34510735249,22731.0,172050.0,30393.0,45557.0,61409.0,1.3276687405283827,6.0,227.66666666666666,153.0,248.5,172.7721685406021,4.0,460.0,63.5,248.5,364.5,1.4096147146749776,1366.0,83380.33333333333,35928.444444444445,60829.0,38276.456343583086,52039.0,137273.0,56434.0,60829.0,99051.0,0.9997705656975029,4.0,245.0,130.0,224.5,138.92623942222002,91.0,440.0,127.0,224.5,342.5,1.2213297309930216,980.0
10,4,6,7,854,1378,2232,56260.0,28611.2,64727.0,32253.136808688858,17498.0,104601.0,23494.0,64727.0,70980.0,1.4335056655468732,6.0,229.66666666666666,183.33333333333334,221.0,185.8984190955432,1.0,443.0,69.0,221.0,410.5,1.3861930321047102,1378.0,72948.0,83349.33333333333,18736.0,88664.6883187815,2136.0,197972.0,10436.0,18736.0,108354.0,0.34628927578341856,4.0,213.5,146.5,177.0,176.5410717085404,12.0,488.0,94.5,177.0,296.0,1.0117269367185078,854.0
